To check,CodeUnits,DESCRIPTION,EXTRA,TABLETS_PER_DAY,DAILY_DOSE,ALT_OTHER_MEDS,REP,REP2,THEN,DAYS,NUM2,DOSE2
,"1 TABLET ONCE DAILY  Notes for dispenser: HZA115150 Subject number 003382 PI Dr Hayes, ple",1tabletoncedailynotesfordispenserhza115150subjectnumber003382pidrhayesple,0,1,NA,NA,NA,NA,NA,NA,NA,NA
,1 TABLET ONCE DAILY  Notes for dispenser: HZC115151/SLS/004529/Dr Salim,1tabletoncedailynotesfordispenserhzc115151sls004529drsalim,0,1,NA,NA,NA,NA,NA,NA,NA,NA
,1 TABLET ONCE DAILY  Notes for dispenser: HZC115151 SLS COPD SID 001425. PI Dr Coulson,1tabletoncedailynotesfordispenserhzc115151slscopdsid001425pidrcoulson,0,1,NA,NA,NA,NA,NA,NA,NA,NA
,1 TABLET ONCE DAILY  Notes for dispenser: New item telmisartan to introduce into pack 30/1,1tabletoncedailynotesfordispensernewitemtelmisartantointroduceintopack301,0,1,NA,NA,NA,NA,NA,NA,NA,NA
,1 TABLET ONCE DAILY  Notes for dispenser: Please advise patient to phone the practice to a,1tabletoncedailynotesfordispenserpleaseadvisepatienttoph1thepracticetoa,0,1,NA,NA,NA,NA,NA,NA,NA,NA
,1 TABLET ONCE DAILY  Notes for dispenser: PLEASE ATTEND FOR AN UPTODATE KIDNEY FUNCTION CH,1tabletoncedailynotesfordispenserpleaseattendforanuptodatekidneyfunctionch,0,1,NA,NA,NA,NA,NA,NA,NA,NA
,1 TABLET ONCE DAILY  Notes for dispenser: Please call GP to speak to a clinician about you,1tabletoncedailynotesfordispenserpleasecallgptospeaktoaclinicianaboutyou,0,1,NA,NA,NA,NA,NA,NA,NA,NA
,1 TABLET ONCE DAILY  Notes for dispenser: Please call GP to speak to a clinician for a rev,1tabletoncedailynotesfordispenserpleasecallgptospeaktoaclinicianforarev,0,1,NA,NA,NA,NA,NA,NA,NA,NA
,1 TABLET ONCE DAILY  Notes for dispenser: please can you deliver script today    note that,1tabletoncedailynotesfordispenserpleasecanyoudeliverscr,0,1,NA,NA,NA,NA,NA,NA,NA,NA
,1 TABLET ONCE DAILY  Notes for dispenser: PLEASE CONFIRM  PATIENTS ADDRESS 11.5.2016CH  No,1tabletoncedailynotesfordispenserpleaseconfirmpatientsaddress1152016chno,0,1,NA,NA,NA,NA,NA,NA,NA,NA
,1 TABLET ONCE DAILY  Notes for dispenser: recommended by HF clinic instead of furosemide  ,1tabletoncedailynotesfordispenserrecommendedbyhfclinicinsteadoffurosemide,0,1,NA,Replace,Furosemide,NA,NA,NA,NA,NA
,1 TABLET ONCE DAILY  Notes for dispenser: SLS/HZC115151/DR.FINEGAN/Sub id 001791,1tabletoncedailynotesfordispenserslshzc115151drfinegansubid001791,0,1,NA,NA,NA,NA,NA,NA,NA,NA
,1 TABLET ONCE DAILY  Notes for dispenser: SLS/HZC115151/Dr Haber/Sub 002177,1tabletoncedailynotesfordispenserslshzc115151drhabersub002177,0,1,NA,NA,NA,NA,NA,NA,NA,NA
,1 TABLET ONCE DAILY  Notes for dispenser: this is extra dose until new dossette on 5/8/201,1tabletoncedailynotesfordispenserthisisextradoseuntilnewdossetteon58201,1,1,NA,NA,NA,NA,NA,NA,NA,NA
,1 TABLET ONCE DAILY  Notes for dispenser: to make up shortfall,1tabletoncedailynotesfordispensertomakeupshortfall,0,1,NA,NA,NA,NA,NA,NA,NA,NA
,1 TABLET ONCE DAILY  Notes for patient: Bumetanide was recoomended for you by your cardiol,1tabletoncedailynotesforpatientbumetanidewasrecoomendedforyoubyyourcardiol,0,1,NA,NA,NA,NA,NA,NA,NA,NA
,one tablet once daily Notes for patient: changed as per hospital letter,1tabletoncedailynotesforpatientchangedasperhospitalletter,0,1,NA,NA,NA,NA,NA,NA,NA,NA
,1 TABLET ONCE DAILY  Notes for patient: for repeat blood test and blood pressure asap,1tabletoncedailynotesforpatientforrepeatbloodtestandbloodpressureasap,0,1,NA,NA,NA,NA,NA,NA,NA,NA
,1 TABLET ONCE DAILY  Notes for patient: for repeat blood test and blood pressure in 2 week,1tabletoncedailynotesforpatientforrepeatbloodtestandbloodpressurein2week,0,1,NA,NA,NA,NA,NA,NA,NA,NA
,1 TABLET ONCE DAILY  Notes for patient: instead of furosemide  book for blood test in two ,1tabletoncedailynotesforpatientinsteadoffurosemidebookforbloodtestin2,0,1,NA,Replace,Furosemide,NA,NA,NA,NA,NA
,1 TABLET ONCE DAILY  Notes for patient: Note for Attention of Patient   ******************,1tabletoncedailynotesforpatientnoteforattentionofpatient,0,1,NA,NA,NA,NA,NA,NA,NA,NA
,1 TABLET ONCE DAILY  Notes for patient:   Note for Attention of Patient   ****************,1tabletoncedailynotesforpatientnoteforattentionofpatient,0,1,NA,NA,NA,NA,NA,NA,NA,NA
,1 TABLET ONCE DAILY  Notes for patient: please have regular blood test to monitor potassiu,1tabletoncedailynotesforpatientpleasehaveregularbloodtesttomonitorpotassiu,0,1,NA,NA,NA,NA,NA,NA,NA,NA
,1 TABLET ONCE DAILY  Notes for patient: Please make an appointment with your GP for a medi,1tabletoncedailynotesforpatientpleasemakeanappointmentwithyourgpforamedi,0,1,NA,NA,NA,NA,NA,NA,NA,NA
,1 TABLET ONCE DAILY  Notes for patient: PLEASE MAKE SURE THAT YOU HAVE YOUR KIDNEY BLOOD T,1tabletoncedailynotesforpatientpleasemakesurethatyouhaveyourkidneybloodt,0,1,NA,NA,NA,NA,NA,NA,NA,NA
,1 TABLET ONCE DAILY  Notes for patient: Please not dose increased as per cardiology to 50m,1tabletoncedailynotesforpatientpleasenotdoseincreasedaspercardiologyto50m,0,1,NA,NA,NA,NA,NA,NA,NA,NA
,1 TABLET ONCE DAILY  Notes for patient: please note I have increased duiretic to 1mg,1tabletoncedailynotesforpatientpleasenoteihaveincreasedduireticto1mg,0,1,NA,NA,NA,NA,NA,NA,NA,NA
,1 TABLET ONCE DAILY  Notes for patient: Please note this drug has been reduced to 5mg as r,1tabletoncedailynotesforpatientpleasenotethisdrughasbeenreducedto5mgasr,0,1,5,NA,NA,NA,NA,NA,NA,NA
,1 TABLET ONCE DAILY  Notes for patient: this is in addition to your tabs,1tabletoncedailynotesforpatientthisisinadditiontoyourtabs,1,1,NA,NA,NA,NA,NA,NA,NA,NA
,1 TABLET ONCE DAILY  Notes for patient: This is in place of furosemide; then please see ma,1tabletoncedailynotesforpatientthisisinplaceoffurosemidethenpleaseseema,0,1,NA,Replace,Furosemide,NA,NA,NA,NA,NA
,1 TABLET ONCE DAILY  Notes for patient: You will need a blood test 1 week after starting t,1tabletoncedailynotesforpatientyouwillneedabloodtest1weekafterstartingt,0,1,NA,NA,NA,NA,NA,NA,NA,NA
,1 TABLET ONCE DAILY ON ALTERNATE DAYS - DOSE 20MG/40MG ALTERNATE DAYS,1tabletoncedailyonalternatedaysdose20mg40mgalternatedays,0,1,30,NA,NA,NA,NA,NA,NA,NA
,1 TABLET ONCE DAILY  (OPC  APR 14)  Notes for patient: the bumetanide tabs are inplace of ,1tabletoncedailyopcapr14notesforpatientthebumetanidetabsareinplaceof,0,1,NA,NA,NA,NA,NA,NA,NA,NA
,1 TABLET ONCE DAILY  (OPC  APR 16),1tabletoncedailyopcapr16,0,1,NA,NA,NA,NA,NA,NA,NA,NA
,1 TABLET ONCE DAILY  (OPC  AUG 14),1tabletoncedailyopcaug14,0,1,NA,NA,NA,NA,NA,NA,NA,NA
,1 TABLET ONCE DAILY  (OPC   JAN 10)  THIS IS IN PLACE OF SPIRONOLACTONE)(,1tabletoncedailyopcjan10thisisinplaceofspironolact1,0,1,NA,Replace,Spironolactone,NA,NA,NA,NA,NA
,1 TABLET ONCE DAILY  (OPC  JAN 14),1tabletoncedailyopcjan14,0,1,NA,NA,NA,NA,NA,NA,NA,NA
,1 TABLET ONCE DAILY  (OPC JUL  14),1tabletoncedailyopcjul14,0,1,NA,NA,NA,NA,NA,NA,NA,NA
,1 TABLET ONCE DAILY  (OPC  NOV 14),1tabletoncedailyopcnov14,0,1,NA,NA,NA,NA,NA,NA,NA,NA
,1 TABLET ONCE DAILY  (OPC  NOV 15),1tabletoncedailyopcnov15,0,1,NA,NA,NA,NA,NA,NA,NA,NA
,1 TABLET ONCE DAILY (OP SEPT 150,1tabletoncedailyopsept150,0,1,NA,NA,NA,NA,NA,NA,NA,NA
,1 TABLET ONCE DAILY OUTSIDE OF BLISTER PACK OR TAKE IN MORNING IN ADDITION TO 2MG MORNING ,1tabletoncedailyoutsideofblisterpackortakeinmorninginadditionto2mgmorning,1,1.5,NA,NA,NA,NA,NA,NA,NA,NA
,1 TABLET ONCE DAILY (PM),1tabletoncedailypm,0,1,NA,NA,NA,NA,NA,NA,NA,NA
,1 TABLET ONCE DAILY (SUPPLIED BY MRI),1tabletoncedailysuppliedbymri,0,1,NA,NA,NA,NA,NA,NA,NA,NA
,"1 TABLET ONCE DAILY. TAKE TWO ON MONDAY, WEDNESDAY AND FRIDAY",1tabletoncedailytake2onmondaywednesdayandfriday,0,1.5,NA,NA,NA,NA,NA,NA,NA,NA
,1 TABLET ONCE DAILY TO BRING IN LINE WITH THE V/LINK,1tabletoncedailytobringinlinewiththevlink,0,1,NA,NA,NA,NA,NA,NA,NA,NA
,1 TABLET ONCE DAILY TO HELP BREATHING/FLUID ON LEGS,1tabletoncedailytohelpbreathingfluidonlegs,0,1,NA,NA,NA,NA,NA,NA,NA,NA
,1 TABLET ONCE DAILY. TO TAKE AS AN EXTRA IF WEIGHT INCREASES BY 2-4LB ABOVE BASELINE AS WE,1tabletoncedailytotakeasanextraifweightincreasesby24lbabovebaselineaswe,1,1,NA,NA,NA,NA,NA,NA,NA,NA
,"1 TABLET ONCE DAILY, TO TAKE WHEN REQUIRED AS NEEDED, OUTSIDE OF DOSSETT BOX PLEASE",1tabletoncedailytotakewhenrequiredasneededoutsideofdossettboxplease,0,1,NA,NA,NA,NA,NA,NA,NA,NA
,1 TABLET ONCE DAILY  -TOTAL BUMETANIDE DAILY IS 2MGS,1tabletoncedailytotalbumetanidedailyis2mgs,0,1,2,NA,NA,NA,NA,NA,NA,NA
,1 TABLET ONCE DAILY UNTIL BLISTER PACK CHANGE,1tabletoncedailyuntilblisterpackchange,0,1,NA,NA,NA,NA,NA,NA,NA,NA
,1 TABLET ONCE DAILY UNTIL REVIEW WITH GP,1tabletoncedailyuntilreviewwithgp,0,1,NA,NA,NA,NA,NA,NA,NA,NA
,1 TABLET ONCE DAILY VIA DOSETTE,1tabletoncedailyviadosette,0,1,NA,NA,NA,NA,NA,NA,NA,NA
,1 TABLET ONCE DAILY VIA M D S,1tabletoncedailyviamds,0,1,NA,NA,NA,NA,NA,NA,NA,NA
,1 TABLET ONCE DAILY VIA MDS,1tabletoncedailyviamds,0,1,NA,NA,NA,NA,NA,NA,NA,NA
,1 TABLET ONCE DAILY VIA (MDS),1tabletoncedailyviamds,0,1,NA,NA,NA,NA,NA,NA,NA,NA
,1 TABLET ONCE DAILY WHEN REQUIRED,1tabletoncedailywhenrequired,0,1,NA,NA,NA,NA,NA,NA,NA,NA
x,1 TABLET ONCE DAILY (WITH 25MG TABLET(S) IN DOSETTE),1tabletoncedailywith25mgtabletsindosette,0,1,25,NA,NA,NA,NA,NA,NA,NA
,1 TABLET ONCE DAILY WITH 8AM DOSE,1tabletoncedailywith8amdose,0,1,NA,NA,NA,NA,NA,NA,NA,NA
,1 TABLET ONCE DAILY WITH THE 5 MG TABLETS,1tabletoncedailywiththe5mgtablets,0,1,5,NA,NA,NA,NA,NA,NA,NA
,1 TABLET ONCE DAY AT NOON,1tabletoncedayatnoon,0,1,NA,NA,NA,NA,NA,NA,NA,NA
,1 TABLET ONCE EACH MORNING,1tabletonceeachmorning,0,1,NA,NA,NA,NA,NA,NA,NA,NA
,1 TABLET ONCE EACH MORNING FOR SWOLLEN LEGS,1tabletonceeachmorningforswollenlegs,0,1,NA,NA,NA,NA,NA,NA,NA,NA
,1 TABLET ONCE EVERY MORNIG,1tabletonceeverymornig,0,1,NA,NA,NA,NA,NA,NA,NA,NA
,1 TABLET ONCE EVERY MORNING,1tabletonceeverymorning,0,1,NA,NA,NA,NA,NA,NA,NA,NA
,1 TABLET ONCE EVERY MORNING AND 1 AT NOON,1tabletonceeverymorningand1atnoon,0,2,NA,NA,NA,NA,NA,NA,NA,NA
,1 TABLET ONCE EVERY MORNING AND 1 AT NOON  Notes for dispenser: Please book in for BP Chec,1tabletonceeverymorningand1atnoonnotesfordispenserpleasebookinforbpchec,0,2,NA,NA,NA,NA,NA,NA,NA,NA
,1 TABLET ONCE EVERY MORNING  Notes for patient: for consideration of continuation after re,1tabletonceeverymorningnotesforpatientforconsiderationofcontinuationafterre,0,1,NA,NA,NA,NA,NA,NA,NA,NA
,1 TABLET ONCE EVERY OTHER DAY,1tabletonceeveryotherday,0,0.5,NA,NA,NA,NA,NA,NA,NA,NA
,1 TABLET ONCEEVERY OTHER DAY,1tabletonceeveryotherday,0,0.5,NA,NA,NA,NA,NA,NA,NA,NA
,1 TABLET ONCE  IN AFTERNOON ABOUT 2PM,1tabletonceinafternoonabout2pm,0,1,NA,NA,NA,NA,NA,NA,NA,NA
,1 TABLET ONCE IN AFTERNOON IN ADDITION TO ONE TAKING IN THE MORNING,1tabletonceinafternooninadditionto1takinginthemorning,1,2,NA,NA,NA,NA,NA,NA,NA,NA
,1 TABLET ONCE IN AM,1tabletonceinam,0,1,NA,NA,NA,NA,NA,NA,NA,NA
,1 TABLET ONCE IN MORNING,1tabletonceinmorning,0,1,NA,NA,NA,NA,NA,NA,NA,NA
,1 TABLET ONCE IN MORNING AND 1 TABLET IN AFTERNOON,1tabletonceinmorningand1tabletinafternoon,0,2,NA,NA,NA,NA,NA,NA,NA,NA
,1 TABLET ONCE IN MORNING AND 1 TABLET IN AFTERNOON  Notes for patient: only increase to 1 ,1tabletonceinmorningand1tabletinafternoonnotesforpatientonlyincreaseto1,0,2,NA,NA,NA,NA,NA,NA,NA,NA
,1 TABLET ONCE IN MORNING  Notes for dispenser: please deliver,1tabletonceinmorningnotesfordispenserpleasedeliver,0,1,NA,NA,NA,NA,NA,NA,NA,NA
,1 TABLET ONCE IN MORNING  Notes for patient: furosemide to replace bendroflumethiazide,1tabletonceinmorningnotesforpatientfurosemidetoreplacebendroflumethiazide,0,1,NA,Replace,Bendroflumethiazide,NA,NA,NA,NA,NA
,1 TABLET ONCE IN THE EVENING,1tabletonceintheevening,0,1,NA,NA,NA,NA,NA,NA,NA,NA
,1 TABLET ONCE IN THE MORNING,1tabletonceinthemorning,0,1,NA,NA,NA,NA,NA,NA,NA,NA
,1 TABLET ONCE IN THE MORNING AND ONE AT 2PM,1tabletonceinthemorningand1at2pm,0,2,NA,NA,NA,NA,NA,NA,NA,NA
,1 TABLET ONCE IN THE MORNING AND 1 IN THE AFTERNOON,1tabletonceinthemorningand1intheafternoon,0,2,NA,NA,NA,NA,NA,NA,NA,NA
,1 TABLET ONCE IN THE MORNING AND ONE MID DAY DAILY,1tabletonceinthemorningand1middaydaily,0,2,NA,NA,NA,NA,NA,NA,NA,NA
,1 TABLET ONCE IN THE MORNING  Notes for dispenser: new treatment  Notes for patient: new t,1tabletonceinthemorningnotesfordispensernewtreatmentnotesforpatientnewt,0,1,NA,NA,NA,NA,NA,NA,NA,NA
,1 TABLET ONCE  IN THE MORNING  Notes for patient: please book for blood test in two weeks,1tabletonceinthemorningnotesforpatientpleasebookforbloodtestin2weeks,0,1,NA,NA,NA,NA,NA,NA,NA,NA
,1 TABLET ONCE MANE AND ONCE AT MID-DAY,1tabletoncemaneandonceatmidday,0,2,NA,NA,NA,NA,NA,NA,NA,NA
,"1 TABLET ONCE MANE ON MONDAY, WEDNESDAY AND FRIODAY ONLY  (IP  JUN 14)",1tabletoncemaneonmondaywednesdayandfriodayonly,0,0.43,NA,NA,NA,NA,NA,NA,NA,NA
,1 TABLET ONCE MORNING,1tabletoncemorning,0,1,NA,NA,NA,NA,NA,NA,NA,NA
,1 TABLET ONCE MORNING 1 AFTERNOON,1tabletoncemorning1afternoon,0,2,NA,NA,NA,NA,NA,NA,NA,NA
,1 TABLET ONCE MORNING AND 1 TABLET MIDDAY,1tabletoncemorningand1tabletmidday,0,2,NA,NA,NA,NA,NA,NA,NA,NA
,1 TABLET ONCE NOCTE,1tabletoncenocte,0,1,NA,NA,NA,NA,NA,NA,NA,NA
,ONE TABLET ONCE OR TWICE A WEEK AS PER HF NURSE RECOMMENDATION OUT SIDE BLISTER PACK,1tabletonceortwiceaweekasperhfnurserecommendationoutsideblisterpack,0,0.21,NA,NA,NA,NA,NA,NA,NA,NA
,1 TABLET ONCE  OR TWICE DAILY,1tabletonceortwicedaily,0,1.5,NA,NA,NA,NA,NA,NA,NA,NA
,1 TABLET ONCE OR TWICE DAILY WITH FOOD,1tabletonceortwicedailywithfood,0,1.5,NA,NA,NA,NA,NA,NA,NA,NA
,1 TABLET ONCE TWICE A DAY,1tabletoncetwiceaday,0,2,NA,NA,NA,NA,NA,NA,NA,NA
,1 TABLET ONCE TWICE A DAY (8AM AND 2PM)  (IP  APR 14),1tabletoncetwiceaday8amand2pm,0,2,NA,NA,NA,NA,NA,NA,NA,NA
,1 TABLET ONCE TWICE DAILY,1tabletoncetwicedaily,0,2,NA,NA,NA,NA,NA,NA,NA,NA
,1 TABLET ONCE VERY MORNING,1tabletonceverymorning,0,1,NA,NA,NA,NA,NA,NA,NA,NA
,1 TABLET ONCE WEEKLY (SEE CARDIOLOGY LETTER BEFORE PRINTING PX)  Notes for patient: Please,1tabletonceweeklyseecardiologyletterbeforeprintingpxnotesforpatientplease,0,0.14,NA,NA,NA,NA,NA,NA,NA,NA
x,"1 TABLET ON DAY ONE, 2 TABLETS ON DAY TWO, THEN REPEAT SO TAKING ONE TABLET EVERY OTHER DA",1tabletonday12tabletsonday2thenrepeatsotaking1tableteveryotherda,0,0.5,NA,NA,NA,NA,NA,NA,NA,NA
,1 TABLET ON EVERY OTHER DAY DAYS,1tabletoneveryotherdaydays,0,0.5,NA,NA,NA,NA,NA,NA,NA,NA
,1 TABLET ON FRIDAY AND TUESDAY EACH WEEK,1tabletonfridayandtuesdayeachweek,0,0.28,NA,NA,NA,NA,NA,NA,NA,NA
,1 TABLET ON MONDAY AND THURSDAY,1tabletonmondayandthursday,0,0.28,NA,NA,NA,NA,NA,NA,NA,NA
,1 TABLET ON MONDAY WEDNESDAY AND FRIDAY,1tabletonmondaywednesdayandfriday,0,0.43,NA,NA,NA,NA,NA,NA,NA,NA
,"1 TABLET ON MONDAY WEDS, FRI AND SAT, AND 2 TABLETS DAILY ON TUES THURS AND SUNDAY",1tabletonmondaywedsfriandsatand2tabletsdailyontuesthursandsunday,0,1.43,NA,NA,NA,NA,NA,NA,NA,NA
,"1 TABLET ON SATURDAY, MONDAY, WEDNESDAY AND FRIDAY",1tabletonsaturdaymondaywednesdayandfriday,0,0.57,NA,NA,NA,NA,NA,NA,NA,NA
,"1 TABLET ON SUNDAY, TUESDAY AND THURSDAY",1tabletonsundaytuesdayandthursday,0,0.43,NA,NA,NA,NA,NA,NA,NA,NA
,"1 TABLET ON TUSDAY, THURSDAY AND SUNDAY (TO MAKE UP TO 2MD THOSE DAYS)",1tabletontusdaythursdayandsundaytomakeupto2mdthosedays,0,0.43,NA,NA,NA,NA,NA,NA,NA,NA
,1 TABLET ON WEDNESDAY AS PER HFSN NOV 2015,1tabletonwednesdayasperhfsnnov2015,0,0.14,NA,NA,NA,NA,NA,NA,NA,NA
,1 TABLET ON WEDNESDAY FOR 2 WEEKS,1tabletonwednesdayfor2weeks,0,0.14,NA,NA,NA,NA,NA,14,NA,NA
,1 TABLET OR TWO  DAILY,1tabletor2daily,0,1.5,NA,NA,NA,NA,NA,NA,NA,NA
,ONE TABLET PER DAY IN ADDITION TO TABLET IN VENALINK,1tabletperdayinadditiontotabletinvenalink,1,1,NA,NA,NA,NA,NA,NA,NA,NA
,ONE TABLET PM,1tabletpm,0,1,NA,NA,NA,NA,NA,NA,NA,NA
,1 TABLET PM,1tabletpm,0,1,NA,NA,NA,NA,NA,NA,NA,NA
,ONE TABLET(S) THREE TIMES A DAY,1tablets3timesaday,0,3,NA,NA,NA,NA,NA,NA,NA,NA
,1 TABLET(S) THREE TIMES A DAY,1tablets3timesaday,0,3,NA,NA,NA,NA,NA,NA,NA,NA
,1 TABLET(S) THREE TIMES A DAY WHEN REQUIRED,1tablets3timesadaywhenrequired,0,1.5,NA,NA,NA,NA,NA,NA,NA,NA
,1 TABLET(S) THREE TIMES A DAY WHEN REQUIRED FOR FOR PAIN,1tablets3timesadaywhenrequiredforforpain,0,1.5,NA,NA,NA,NA,NA,NA,NA,NA
,1 TABLET(S) THREE TIMES A DAY WHEN REQUIRED  Notes for dispenser: PLEASE MAKE APPT REVIEW ,1tablets3timesadaywhenrequirednotesfordispenserpleasemakeapptreview,0,1.5,NA,NA,NA,NA,NA,NA,NA,NA
,1 TABLETS FOUR TIMES A DAY,1tablets4timesaday,0,4,NA,NA,NA,NA,NA,NA,NA,NA
,ONE TABLETS FOUR TIMES A DAY,1tablets4timesaday,0,4,NA,NA,NA,NA,NA,NA,NA,NA
,1 TABLET(S) 5 TIMES A DAY,1tablets5timesaday,0,5,NA,NA,NA,NA,NA,NA,NA,NA
,ONE TABLET(S) 5 TIMES A DAY,1tablets5timesaday,0,5,NA,NA,NA,NA,NA,NA,NA,NA
,ONE TABLET(S) FIVE TIMES A DAY,1tablets5timesaday,0,5,NA,NA,NA,NA,NA,NA,NA,NA
,1 TABLETS 5 TIMES A DAY,1tablets5timesaday,0,5,NA,NA,NA,NA,NA,NA,NA,NA
,1 TABLET(S) 5 TIMES ADAY,1tablets5timesaday,0,5,NA,NA,NA,NA,NA,NA,NA,NA
,ONE TABLET(S) FIVE TIMES A DAY FOR FIVE DAYS,1tablets5timesadayfor5days,0,5,NA,NA,NA,NA,NA,NA,NA,NA
,1 TABLET(S) FIVE TIMES A DAY FOR 7 DAYS,1tablets5timesadayfor7days,0,5,NA,NA,NA,NA,NA,NA,NA,NA
,ONE TABLET(S) 5 TIMES A DAY FOR A WEEK,1tablets5timesadayforaweek,0,5,NA,NA,NA,NA,NA,NA,NA,NA
,ONE TABLET(S) FIVE TIMES DAILY,1tablets5timesdaily,0,5,NA,NA,NA,NA,NA,NA,NA,NA
,ONE TABLET(S) 5 TIMES DAILY,1tablets5timesdaily,0,5,NA,NA,NA,NA,NA,NA,NA,NA
,1 TABLET(S) 5 TIMES DAILY,1tablets5timesdaily,0,5,NA,NA,NA,NA,NA,NA,NA,NA
,ONE TABLETS FIVE TIMES DAILY,1tablets5timesdaily,0,5,NA,NA,NA,NA,NA,NA,NA,NA
,1 TABLETS 8AM 1 TABLET 2PM (TOTAL DOSE 40MG AM AND 40MG PM),1tablets8am1tablet2pmtotaldose40mgamand40mgpm,0,2,80,NA,NA,NA,NA,NA,NA,NA
,1 TABLET(S) 8AM AND 1 TABLET(S) 2PM,1tablets8amand1tablets2pm,0,2,NA,NA,NA,NA,NA,NA,NA,NA
,1 TABLETS 8AM (TOTAL DOSE 40MG),1tablets8amtotaldose40mg,0,1,40,NA,NA,NA,NA,NA,NA,NA
,ONE TABLET(S) 8 HOURLY,1tablets8hourly,0,3,NA,NA,NA,NA,NA,NA,NA,NA
,ONE TABLET(S)  A DAY,1tabletsaday,0,1,NA,NA,NA,NA,NA,NA,NA,NA
,ONE TABLET(S) A DAY,1tabletsaday,0,1,NA,NA,NA,NA,NA,NA,NA,NA
,1 TABLET(S) ALTERNATE DAY,1tabletsalternateday,0,0.5,NA,NA,NA,NA,NA,NA,NA,NA
,ONE TABLET(S) ALTERNATE DAYS,1tabletsalternatedays,0,0.5,NA,NA,NA,NA,NA,NA,NA,NA
,1 TABLET(S) AM,1tabletsam,0,1,NA,NA,NA,NA,NA,NA,NA,NA
,1 TABLET(S) AM AND 1 TABLET(S) MID DAY,1tabletsamand1tabletsmidday,0,2,NA,NA,NA,NA,NA,NA,NA,NA
,1 TABLET(S) AT 2PM,1tabletsat2pm,0,1,NA,NA,NA,NA,NA,NA,NA,NA
,1 TABLET(S) AT NIGHT,1tabletsatnight,0,1,NA,NA,NA,NA,NA,NA,NA,NA
,1 TABLET(S) AT NIGHT DAILY,1tabletsatnightdaily,0,1,NA,NA,NA,NA,NA,NA,NA,NA
,1 TABLET(S) DAILY,1tabletsdaily,0,1,NA,NA,NA,NA,NA,NA,NA,NA
,1 TABLETS DAILY,1tabletsdaily,0,1,NA,NA,NA,NA,NA,NA,NA,NA
,ONE TABLET(S) DAILY,1tabletsdaily,0,1,NA,NA,NA,NA,NA,NA,NA,NA
,"1 TABLET(S) DAILY. SLS HZC115151, ID000923, PI DR BUDDEN",1tabletsdailyslshzc115151id000923pidrbudden,0,1,NA,NA,NA,NA,NA,NA,NA,NA
,1 TABLET(S) DAILY. take between 2-3 pm,1tabletsdailytakebetween23pm,0,1,NA,NA,NA,NA,NA,NA,NA,NA
,1 TABLET(S) DAILY. TAKE BETWEEN 2-3 PM,1tabletsdailytakebetween23pm,0,1,NA,NA,NA,NA,NA,NA,NA,NA
,1 TABLET(S) EACH MORNING,1tabletseachmorning,0,1,NA,NA,NA,NA,NA,NA,NA,NA
,ONE TABLET(S) EVERY 2ND DAY,1tabletsevery2ndday,0,0.5,NA,NA,NA,NA,NA,NA,NA,NA
,1 TABLET(S) EVERY DAY,1tabletseveryday,0,1,NA,NA,NA,NA,NA,NA,NA,NA
,ONE TABLET(S) EVERY DAY,1tabletseveryday,0,1,NA,NA,NA,NA,NA,NA,NA,NA
,1 TABLET(S) EVERY DAY AS DIRECTED BY CARDIOLOGIST,1tabletseverydayasdirectedbycardiologist,0,1,NA,NA,NA,NA,NA,NA,NA,NA
,1 TABLET(S) EVERY DAY. BLOOD TESTS 2 WEEKS AFTER STARTING.,1tabletseverydaybloodtests2weeksafterstarting,0,1,NA,NA,NA,NA,NA,NA,NA,NA
,1 TABLET(S) EVERY DAY. CHECK BLOODS IN 2 WEEKS,1tabletseverydaycheckbloodsin2weeks,0,1,NA,NA,NA,NA,NA,NA,NA,NA
,1 TABLETS EVERY DAY FOR 2 WEEKS,1tabletseverydayfor2weeks,0,1,NA,NA,NA,NA,NA,NA,NA,NA
,1 TABLET(S) EVERY DAY FOR BLOOD PRESSURE,1tabletseverydayforbloodpressure,0,1,NA,NA,NA,NA,NA,NA,NA,NA
,ONE TABLET(S) EVERY DAY FOR HEART AND BP,1tabletseverydayforheartandbp,0,1,NA,NA,NA,NA,NA,NA,NA,NA
,1 TABLET(S) EVERY DAY FOR HEART FAILURE,1tabletseverydayforheartfailure,0,1,NA,NA,NA,NA,NA,NA,NA,NA
,1 TABLET(S) EVERY DAY. RPT BLOOD AND BP IN 2WEEKS,1tabletseverydayrptbloodandbpin2weeks,0,1,NA,NA,NA,NA,NA,NA,NA,NA
,1 TABLET(S) EVERY DAY. RPT BLOODS AND BP IN 2 WEEKS,1tabletseverydayrptbloodsandbpin2weeks,0,1,NA,NA,NA,NA,NA,NA,NA,NA
,1 TABLETS EVERY MORNING,1tabletseverymorning,0,1,NA,NA,NA,NA,NA,NA,NA,NA
,ONE  TABLETS EVERY MORNING IN MDS,1tabletseverymorninginmds,0,1,NA,NA,NA,NA,NA,NA,NA,NA
,1 TABLETS EVERY MORNING  Notes for dispenser: please tell pt blood test due  Notes for pat,1tabletseverymorningnotesfordispenserpleasetellptbloodtestduenotesforpat,0,1,NA,NA,NA,NA,NA,NA,NA,NA
,1 TABLET(S) EVERY OTHER DAY DAYS,1tabletseveryotherdaydays,0,0.5,NA,NA,NA,NA,NA,NA,NA,NA
